AV.L
FRES.L
ITV.L
KGF.L
MRO.L
REX.L
RR.L
SRP.L
WPP.L
WEIR.L
IAG.L
AAL.L
ABF.L
ADM.L
ADN.L
AGK.L
AMEC.L
ANTO.L
ARM.L
AZN.L
BA.L
BAB.L
BARC.L
BATS.L
BG.L
BLND.L
BLT.L
BNZL.L
BP.L
BRBY.L
BSY.L
BT-A.L
CCL.L
CNA.L
CPG.L
CPI.L
CRDA.L
CRH.L
DGE.L
ENRC.L
EXPN.L
EZJ.L
GFS.L
GKN.L
GLEN.L
GSK.L
HL.L
HMSO.L
HSBA.L
IHG.L
IMI.L
IMT.L
ITRK.L
JMAT.L
LAND.L
LGEN.L
LLOY.L
LSE.L
MGGT.L
MKS.L
MRW.L
NG.L
NXT.L
OML.L
PFC.L
PRU.L
PSN.L
PSON.L
RB.L
RBS.L
RDSA.L
RDSB.L
REL.L
RIO.L
RRS.L
RSA.L
RSL.L
SAB.L
SBRY.L
SDR.L
SGE.L
SHP.L
SL.L
SMIN.L
SN.L
SSE.L
STAN.L
SVT.L
TATE.L
TLW.L
TPK.L
TSCO.L
TT.L
ULVR.L
UU.L
VED.L
VOD.L
WG.L
WMH.L
WOS.L
WTB.L
