MMM
ACE
AES
AFL
GAS
T
ABBV
ABT
ANF
ACN
ACT
ADBE
AMD
AET
A
APD
ARG
AKAM
AA
ALXN
ATI
AGN
ALL
ALTR
MO
AMZN
AEE
AEP
AXP
AIG
AMT
AMP
ABC
AMGN
APH
APC
ADI
AON
APA
AIV
AAPL
AMAT
ADM
AIZ
AN
AZO
ADSK
ADP
AVB
AVY
AVP
BBT
BMC
BHI
BLL
BAC
BCR
BAX
BEAM
BDX
BBBY
BMS
BRK.B
BBY
BIIB
BLK
HRB
BA
BWA
BXP
BSX
BMY
BRCM
BF.B
CA
CBG
CBS
CF
CHRW
CME
CMS
CNX
CSX
CVS
CVC
COG
CAM
CPB
COF
CAH
CFN
KMX
CCL
CAT
CELG
CNP
CTL
CERN
CHK
CVX
CMG
CB
CI
CINF
CTAS
CSCO
C
CTXS
CLF
CLX
COH
KO
CCE
CTSH
CL
CMCSA
CMA
CSC
CAG
COP
ED
STZ
GLW
COST
COV
CCI
CMI
DTV
DTE
DVA
DHR
DRI
DE
DELL
DLPH
DNR
XRAY
DVN
DO
DFS
DISCA
DG
DLTR
D
DOV
DOW
DPS
DUK
DNB
ETFC
DD
EMC
EOG
EQT
EMN
ETN
ECL
EIX
EW
EA
EMR
ESV
ETR
EFX
EQR
EL
EXC
EXPE
EXPD
ESRX
XOM
FFIV
FLIR
FMC
FTI
FDO
FAST
FDX
FIS
FITB
FSLR
FE
FISV
FLS
FLR
F
FRX
FOSL
BEN
FCX
FTR
GME
GCI
GPS
GRMN
GD
GE
GIS
GM
GPC
GNW
GILD
GS
GT
GOOG
GWW
HCP
HAL
HOG
HAR
HRS
HIG
HAS
HCN
HP
HSY
HES
HPQ
HD
HON
HRL
DHI
HSP
HST
HCBK
HUM
HBAN
ITW
IR
TEG
INTC
ICE
IPG
IBM
IFF
IGT
IP
INTU
ISRG
IVZ
IRM
JDSU
JPM
JBL
JEC
JNJ
JCI
JOY
JNPR
KLAC
KSU
K
KEY
KMB
KIM
KMI
KSS
KRFT
KR
LTD
LLL
LSI
LH
LRCX
LM
LEG
LEN
LUK
LIFE
LLY
LNC
LLTC
LMT
L
LO
LOW
LYB
MTB
MAC
M
MRO
MPC
MAR
MMC
MAS
MA
MAT
MKC
MCD
MHFI
MCK
MJN
MWV
MDT
MRK
MET
MCHP
MU
MSFT
MOLX
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MUR
MYL
NKE
NRG
NYX
NBR
NDAQ
NOV
NTAP
NFLX
NWL
NFX
NEM
NWSA
NEE
NLSN
NI
NE
NBL
JWN
NSC
NU
NTRS
NOC
NUE
NVDA
ORLY
OKE
OXY
OMC
ORCL
OI
PCAR
PETM
PCG
PNC
PPG
PPL
PVH
PLL
PH
PDCO
PAYX
BTU
JCP
PNR
PBCT
POM
PEP
PKI
PRGO
PFE
PM
PSX
PNW
PXD
PBI
PCL
PX
PCP
PCLN
PFG
PLD
PG
PGR
PRU
PEG
PSA
PHM
QEP
QCOM
PWR
DGX
RL
RRC
RTN
RHT
REGN
RF
RSG
RAI
RHI
ROK
COL
ROP
ROST
RDC
R
SAI
SCG
SLM
SWY
CRM
SNDK
SLB
SCHW
SNI
STX
SEE
SRE
SHW
SIAL
SPG
SJM
SNA
SO
LUV
SWN
SE
STJ
SWK
SPLS
SBUX
HOT
STT
SRCL
SYK
STI
SYMC
SYY
TROW
TEL
TE
TJX
TGT
THC
TDC
TER
TSO
TXN
TXT
ADT
BK
WMB
TMO
TIF
TWC
TWX
TMK
TSS
TRV
TRIP
FOXA
TYC
TSN
USB
UNP
UPS
X
UTX
UNH
UNM
URBN
VFC
VLO
VAR
VTR
VRSN
VZ
VIAB
V
VNO
VMC
WPX
WMT
WAG
DIS
WPO
WM
WAT
WLP
WFC
WDC
WU
WY
WHR
WFM
WIN
WEC
WYN
WYNN
XL
XEL
XRX
XLNX
XYL
YHOO
YUM
ZMH
ZION
ZTS
EBAY
