DATE,DATA
2001-11-29,2.11625
2001-11-30,2.10922
2001-12-03,2.08750
2001-12-04,2.04625
2001-12-05,1.97234
2001-12-06,1.92500
2001-12-07,1.88000
2001-12-10,1.85750
2001-12-11,1.85000
2001-12-12,1.83031
2001-12-13,1.82406
2001-12-14,1.82625
2001-12-17,1.83172
2001-12-18,1.83000
2001-12-19,1.83281
2001-12-20,1.83250
2001-12-21,2.12500
2001-12-24,2.12813
2001-12-27,2.11813
2001-12-28,1.90000
2001-12-31,1.89125
2002-01-02,1.86375
2002-01-03,1.84797
2002-01-04,1.84422
2002-01-07,1.84422
2002-01-08,1.83250
2002-01-09,1.82500
2002-01-10,1.82500
2002-01-11,1.82375
2002-01-14,1.81656
2002-01-15,1.81281
2002-01-16,1.79266
2002-01-17,1.78516
2002-01-18,1.78891
2002-01-21,1.78891
2002-01-22,1.78766
2002-01-23,1.79500
2002-01-24,1.79391
2002-01-25,1.82656
2002-01-28,1.82750
2002-01-29,1.84547
2002-01-30,1.83875
2002-01-31,1.84000
2002-02-01,1.84047
2002-02-04,1.83750
2002-02-05,1.83625
2002-02-06,1.82625
2002-02-07,1.83625
2002-02-08,1.83750
2002-02-11,1.83750
2002-02-12,1.83625
2002-02-13,1.84297
2002-02-14,1.84000
2002-02-15,1.84000
2002-02-18,1.84000
2002-02-19,1.84000
2002-02-20,1.84000
2002-02-21,1.84000
2002-02-22,1.84000
2002-02-25,1.84000
2002-02-26,1.84172
2002-02-27,1.84047
2002-02-28,1.83797
2002-03-01,1.84047
2002-03-04,1.84000
2002-03-05,1.84000
2002-03-06,1.83625
2002-03-07,1.84625
2002-03-08,1.84125
2002-03-11,1.84000
2002-03-12,1.84000
2002-03-13,1.84500
2002-03-14,1.84000
2002-03-15,1.84000
2002-03-18,1.84250
2002-03-19,1.84000
2002-03-20,1.93375
2002-03-21,1.93875
2002-03-22,1.95875
2002-03-25,1.95000
2002-03-26,1.95250
2002-03-27,1.86125
2002-03-28,1.85500
2002-04-02,1.84875
2002-04-03,1.84375
2002-04-04,1.84000
2002-04-05,1.83875
2002-04-08,1.84000
2002-04-09,1.84250
2002-04-10,1.83625
2002-04-11,1.83750
